INFO:root:Fri Jul 28 09:54:12 2023
INFO:root: объект - file_recorder.cpython-310.pyc, расширение файла - ['.cpython-310', '.pyc'], тип объекта - file, родитель - __pycache__
INFO:root: объект - 1bfd9cf0c3653c1618fdc4535015cf2aac290d, расширение файла - [], тип объекта - file, родитель - 80
INFO:root: объект - 80, расширение файла - None, тип объекта - directory, родитель - 80
INFO:root: объект - e684347826e251ac6b98ba4b27c590531e9ad1, расширение файла - [], тип объекта - file, родитель - 46
INFO:root: объект - 46, расширение файла - None, тип объекта - directory, родитель - 46
INFO:root: объект - df0619957e45cf25b8b8517949261042ea9691, расширение файла - [], тип объекта - file, родитель - a2
INFO:root: объект - a2, расширение файла - None, тип объекта - directory, родитель - a2
INFO:root: объект - e745f8214ecef56769019140ada9fc5700900a, расширение файла - [], тип объекта - file, родитель - 99
INFO:root: объект - 99, расширение файла - None, тип объекта - directory, родитель - 99
INFO:root: объект - a8f124424ff852caee4fd1d1da605a5ace0cff, расширение файла - [], тип объекта - file, родитель - 6b
INFO:root: объект - bdbac6de66320aa43efcf0581c772d9486a7f1, расширение файла - [], тип объекта - file, родитель - 6b
INFO:root: объект - 6b, расширение файла - None, тип объекта - directory, родитель - 6b
INFO:root: объект - 4431361cf08de71ed44ccddd8c6f22e196ee72, расширение файла - [], тип объекта - file, родитель - a0
INFO:root: объект - a0, расширение файла - None, тип объекта - directory, родитель - a0
INFO:root: объект - 5aabd53cb0ef73c185a7d5c0fced17e30ca126, расширение файла - [], тип объекта - file, родитель - 58
INFO:root: объект - 58, расширение файла - None, тип объекта - directory, родитель - 58
INFO:root: объект - 55cf9b243f71cca0ff85b98768102a53ab44de, расширение файла - [], тип объекта - file, родитель - 03
INFO:root: объект - 03, расширение файла - None, тип объекта - directory, родитель - 03
INFO:root: объект - 8df0466527f37585a1cdb17f2ce4cfdf13c657, расширение файла - [], тип объекта - file, родитель - 26
INFO:root: объект - 26, расширение файла - None, тип объекта - directory, родитель - 26
INFO:root: объект - 83c0dcf4759f0570b3b6d91026627492793d55, расширение файла - [], тип объекта - file, родитель - 11
INFO:root: объект - a366ea0650f8a759643261b796387c779b20a5, расширение файла - [], тип объекта - file, родитель - 11
INFO:root: объект - 11, расширение файла - None, тип объекта - directory, родитель - 11
INFO:root: объект - 5aebb8ed7830bc004363f3336b9819194c8396, расширение файла - [], тип объекта - file, родитель - 3b
INFO:root: объект - 32b415c009e5226242eee0589cd2a89def72e2, расширение файла - [], тип объекта - file, родитель - 3b
INFO:root: объект - 3b, расширение файла - None, тип объекта - directory, родитель - 3b
INFO:root: объект - 1b251ea3ecb7ad9764213c2c6ed3b010ed224e, расширение файла - [], тип объекта - file, родитель - a3
INFO:root: объект - a3, расширение файла - None, тип объекта - directory, родитель - a3
INFO:root: объект - 6fd1358c0d3174babcfa94865fbba3dca0182e, расширение файла - [], тип объекта - file, родитель - 9f
INFO:root: объект - e3c484c751be8307eefd1c4e25a0ffe11ff28b, расширение файла - [], тип объекта - file, родитель - 9f
INFO:root: объект - 9f, расширение файла - None, тип объекта - directory, родитель - 9f
INFO:root: объект - f0cadd2f97e3620343fc848619d631e63bb51d, расширение файла - [], тип объекта - file, родитель - d9
INFO:root: объект - 5dbc623e9eefa13f865107db1ac39c6e9bf8ca, расширение файла - [], тип объекта - file, родитель - d9
INFO:root: объект - d9, расширение файла - None, тип объекта - directory, родитель - d9
INFO:root: объект - 779f52fcd3c0fc64fcb5808a3446c50dd03bf8, расширение файла - [], тип объекта - file, родитель - c3
INFO:root: объект - 1b9c3175daffeb557b43ec61eb87122fe2e6b5, расширение файла - [], тип объекта - file, родитель - c3
INFO:root: объект - 46f6682a532b2e7d194f8d465b4f862eba6a99, расширение файла - [], тип объекта - file, родитель - c3
INFO:root: объект - c3, расширение файла - None, тип объекта - directory, родитель - c3
INFO:root: объект - d88d6d04672c9654e7b5cf77f3e8e53294dc75, расширение файла - [], тип объекта - file, родитель - ec
INFO:root: объект - 8b49ca203ad284b649c02aa86649ca8b0e93e3, расширение файла - [], тип объекта - file, родитель - ec
INFO:root: объект - ec, расширение файла - None, тип объекта - directory, родитель - ec
INFO:root: объект - d1297745dd32b8b7547d46b30b311650807c12, расширение файла - [], тип объекта - file, родитель - d8
INFO:root: объект - 4c50098bdacf3756f951fff619ee61b420bad1, расширение файла - [], тип объекта - file, родитель - d8
INFO:root: объект - d8, расширение файла - None, тип объекта - directory, родитель - d8
INFO:root: объект - 7fabfe7fdcfa418a51b9e2ab62dc24f2683074, расширение файла - [], тип объекта - file, родитель - aa
INFO:root: объект - aa, расширение файла - None, тип объекта - directory, родитель - aa
INFO:root: объект - 7c61cbd790aa89147cdba2110fab6fa378ef9e, расширение файла - [], тип объекта - file, родитель - dd
INFO:root: объект - dd, расширение файла - None, тип объекта - directory, родитель - dd
INFO:root: объект - 549c1de6564d211f9df5bedfa0058c5d8a2ad2, расширение файла - [], тип объекта - file, родитель - cf
INFO:root: объект - cf, расширение файла - None, тип объекта - directory, родитель - cf
INFO:root: объект - 807516acfaaf104f38d4aab65e6189adcf6d81, расширение файла - [], тип объекта - file, родитель - ab
INFO:root: объект - ab, расширение файла - None, тип объекта - directory, родитель - ab
INFO:root: объект - f86b4d6fb8f4b80a73ba087156572decdd01db, расширение файла - [], тип объекта - file, родитель - ae
INFO:root: объект - ae, расширение файла - None, тип объекта - directory, родитель - ae
INFO:root: объект - 66b786065162d91c0ec70385458e3130e03d80, расширение файла - [], тип объекта - file, родитель - e3
INFO:root: объект - e3, расширение файла - None, тип объекта - directory, родитель - e3
INFO:root: объект - 113900223d67780c65749a96209053ca0943e1, расширение файла - [], тип объекта - file, родитель - 63
INFO:root: объект - 63, расширение файла - None, тип объекта - directory, родитель - 63
INFO:root: объект - f1f501138d1fe32562b8bbbccdc01a67a60757, расширение файла - [], тип объекта - file, родитель - 8a
INFO:root: объект - 38096c6a52601f1e35cf343b1c1b6dfd0226d8, расширение файла - [], тип объекта - file, родитель - 8a
INFO:root: объект - 8a, расширение файла - None, тип объекта - directory, родитель - 8a
INFO:root: объект - c451b203c482e3028db69c8ec83f5c7139efd1, расширение файла - [], тип объекта - file, родитель - 84
INFO:root: объект - 34e180c41c93308644dafc3e8a77dd420ebc0b, расширение файла - [], тип объекта - file, родитель - 84
INFO:root: объект - 84, расширение файла - None, тип объекта - directory, родитель - 84
INFO:root: объект - 88c7516346bf12723e8b133b24527128d27e0a, расширение файла - [], тип объекта - file, родитель - c7
INFO:root: объект - c7, расширение файла - None, тип объекта - directory, родитель - c7
INFO:root: объект - 0caf335866e842f6dfb0309c05b31283fa58a3, расширение файла - [], тип объекта - file, родитель - 89
INFO:root: объект - 89, расширение файла - None, тип объекта - directory, родитель - 89
INFO:root: объект - 0edcba9ac1795a4d5fc76381f938242bdf43a2, расширение файла - [], тип объекта - file, родитель - 3c
INFO:root: объект - 3c, расширение файла - None, тип объекта - directory, родитель - 3c
INFO:root: объект - b695f1fb5199bbaf219c1bc95f2f7b9fbadc03, расширение файла - [], тип объекта - file, родитель - 23
INFO:root: объект - 9a2f44c11a83d98a7e18c40df578861390e796, расширение файла - [], тип объекта - file, родитель - 23
INFO:root: объект - 0f466f5e3f3f6ce39701df13c806a7d00f0152, расширение файла - [], тип объекта - file, родитель - 23
INFO:root: объект - 23, расширение файла - None, тип объекта - directory, родитель - 23
INFO:root: объект - 381aeaac6837916398713f89962c0c58f2b4d5, расширение файла - [], тип объекта - file, родитель - 36
INFO:root: объект - 36, расширение файла - None, тип объекта - directory, родитель - 36
INFO:root: объект - 809edf28f91c77c5ff7585d879dd7d72fd9bea, расширение файла - [], тип объекта - file, родитель - 6a
INFO:root: объект - 6a, расширение файла - None, тип объекта - directory, родитель - 6a
INFO:root: объект - 218ca89de3177908b9d3f9597cbb948c42a7c9, расширение файла - [], тип объекта - file, родитель - 33
INFO:root: объект - 33, расширение файла - None, тип объекта - directory, родитель - 33
INFO:root: объект - 62478c1b71c32a84a942570a00de36e487f95b, расширение файла - [], тип объекта - file, родитель - fe
INFO:root: объект - fe, расширение файла - None, тип объекта - directory, родитель - fe
INFO:root: объект - a75c8b6dabef3967d446518b5f94de2b9a84ca, расширение файла - [], тип объекта - file, родитель - 31
INFO:root: объект - 31, расширение файла - None, тип объекта - directory, родитель - 31
INFO:root: объект - 13c1cfec9c1fb95e8d272e702cac9a0958a8fd, расширение файла - [], тип объекта - file, родитель - 6c
INFO:root: объект - 6c, расширение файла - None, тип объекта - directory, родитель - 6c
INFO:root: объект - 68bd9b20ddfc2e2e60ae16610cb53caf5523e2, расширение файла - [], тип объекта - file, родитель - 7b
INFO:root: объект - efa7b894c508d4a4dd32c1c3b24c099c9ca5e8, расширение файла - [], тип объекта - file, родитель - 7b
INFO:root: объект - 7b, расширение файла - None, тип объекта - directory, родитель - 7b
INFO:root: объект - 92a5dbce503b2fef5a22f77256f863c64c188e, расширение файла - [], тип объекта - file, родитель - 5c
INFO:root: объект - 6ab642703ff33a9f5dc2d010f998e89056d497, расширение файла - [], тип объекта - file, родитель - 5c
INFO:root: объект - 5c, расширение файла - None, тип объекта - directory, родитель - 5c
INFO:root: объект - 42b974156e024e2ca9a7fa358a01d4f988d721, расширение файла - [], тип объекта - file, родитель - 38
INFO:root: объект - 38, расширение файла - None, тип объекта - directory, родитель - 38
INFO:root: объект - 1149bf432d9e41a0328fa063cd7c6d1922b4a4, расширение файла - [], тип объекта - file, родитель - f7
INFO:root: объект - f7, расширение файла - None, тип объекта - directory, родитель - f7
INFO:root: объект - be38eb1fd87b12678033e43ae566b1f32b96f4, расширение файла - [], тип объекта - file, родитель - b1
INFO:root: объект - b1, расширение файла - None, тип объекта - directory, родитель - b1
INFO:root: объект - e1fed17bf888aaf2654dabd6ff0af28540ab8b, расширение файла - [], тип объекта - file, родитель - 53
INFO:root: объект - 53, расширение файла - None, тип объекта - directory, родитель - 53
INFO:root: объект - 141b6dc25c3fea846461f022e246f0f8271504, расширение файла - [], тип объекта - file, родитель - de
INFO:root: объект - 31386ef60b2214302432c6fd0537b032fa71de, расширение файла - [], тип объекта - file, родитель - de
INFO:root: объект - de, расширение файла - None, тип объекта - directory, родитель - de
INFO:root: объект - 9de29bb2d1d6434b8b29ae775ad8c2e48c5391, расширение файла - [], тип объекта - file, родитель - e6
INFO:root: объект - e6, расширение файла - None, тип объекта - directory, родитель - e6
INFO:root: объект - 012e118fc76077720334bb8ea53b4f22ce5afb, расширение файла - [], тип объекта - file, родитель - a4
INFO:root: объект - a4, расширение файла - None, тип объекта - directory, родитель - a4
INFO:root: объект - 452c2c03d0daa6d3c2f06674e829d9b98af887, расширение файла - [], тип объекта - file, родитель - 88
INFO:root: объект - b108b8cbb830ea2bfea625ddfcca110f3005e8, расширение файла - [], тип объекта - file, родитель - 88
INFO:root: объект - 88, расширение файла - None, тип объекта - directory, родитель - 88
INFO:root: объект - f1c28bccb21d4e37d6024becae42d740e87c95, расширение файла - [], тип объекта - file, родитель - d5
INFO:root: объект - 689d0cd347f40d1837e771bd43760289cfa2bd, расширение файла - [], тип объекта - file, родитель - d5
INFO:root: объект - d5, расширение файла - None, тип объекта - directory, родитель - d5
INFO:root: объект - b65d4c12a9389aabd8dbc305d62b52771ab2c4, расширение файла - [], тип объекта - file, родитель - f1
INFO:root: объект - f1, расширение файла - None, тип объекта - directory, родитель - f1
INFO:root: объект - ab10a9c594482dac843122d9ad1289e1b34a40, расширение файла - [], тип объекта - file, родитель - fd
INFO:root: объект - ad7f65ff96b89a813ccdd9176510536ca2e79d, расширение файла - [], тип объекта - file, родитель - fd
INFO:root: объект - fd, расширение файла - None, тип объекта - directory, родитель - fd
INFO:root: объект - 4e95dd67044ef2e02ee16ef3af19f6a905b88d, расширение файла - [], тип объекта - file, родитель - 8d
INFO:root: объект - 8d, расширение файла - None, тип объекта - directory, родитель - 8d
INFO:root: объект - 1ce2794bd80678f18e309ef88cc712603584df, расширение файла - [], тип объекта - file, родитель - 10
INFO:root: объект - 10, расширение файла - None, тип объекта - directory, родитель - 10
INFO:root: объект - 0a36699ade7c21259a1de3446687eb56cedf77, расширение файла - [], тип объекта - file, родитель - 9a
INFO:root: объект - 9a, расширение файла - None, тип объекта - directory, родитель - 9a
INFO:root: объект - b02930e620ec5713164f46b69ac33d6267fcb6, расширение файла - [], тип объекта - file, родитель - ca
INFO:root: объект - ca, расширение файла - None, тип объекта - directory, родитель - ca
INFO:root: объект - 0e92eba5de48ef5e5e4f4807e3996f3bb7f51e, расширение файла - [], тип объекта - file, родитель - 83
INFO:root: объект - 83, расширение файла - None, тип объекта - directory, родитель - 83
INFO:root: объект - 2a6975d6229dee4a88116bac567fa30bdca119, расширение файла - [], тип объекта - file, родитель - 82
INFO:root: объект - 82, расширение файла - None, тип объекта - directory, родитель - 82
INFO:root: объект - 982bfb359fae2345153de141d099f7c8abab8c, расширение файла - [], тип объекта - file, родитель - 08
INFO:root: объект - 9f648037babc95c736d690d9d5d418f57f045e, расширение файла - [], тип объекта - file, родитель - 08
